+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
| Dapper                                                     | 2.1.35                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | 2019 Stack Exchange, Inc.                                                                                                                                 | Sam Saffron,Marc Gravell,Nick Craver                    | https://github.com/DapperLib/Dapper                            |                                                        |                                                                                                                   |
| DeepL.net                                                  | 1.15.0                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              |                                                                                                                                                           | DeepL SE                                                | https://www.deepl.com/pro-api                                  |                                                        |                                                                                                                   |
| EFCore.NamingConventions                                   | 9.0.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2023 © Shay Rojansky                                                                                                                            | Shay Rojansky                                           |                                                                |                                                        |                                                                                                                   |
| FluentAssertions                                           | 6.12.2                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright Dennis Doomen 2010-2024                                                                                                                         | Dennis Doomen,Jonas Nyrup                               | https://www.fluentassertions.com/                              |                                                        |                                                                                                                   |
| HtmlAgilityPack                                            | 1.11.71                 | Expression                 | MIT                | https://licenses.nuget.org/MIT              | Copyright © ZZZ Projects Inc.                                                                                                                             | ZZZ Projects,Simon Mourrier,Jeff Klawiter,Stephan Grell | http://html-agility-pack.net/                                  |                                                        |                                                                                                                   |
| MassTransit                                                | 8.4.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2007-2024 Chris Patterson                                                                                                                       | Chris Patterson                                         | https://masstransit.io/                                        |                                                        |                                                                                                                   |
| MassTransit.Abstractions                                   | 8.4.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2007-2024 Chris Patterson                                                                                                                       | Chris Patterson                                         | https://masstransit.io/                                        |                                                        |                                                                                                                   |
| MassTransit.EntityFrameworkCore                            | 8.4.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2007-2024 Chris Patterson                                                                                                                       | Chris Patterson                                         | https://masstransit.io/                                        |                                                        |                                                                                                                   |
| MassTransit.RabbitMQ                                       | 8.4.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2007-2024 Chris Patterson                                                                                                                       | Chris Patterson                                         | https://masstransit.io/                                        |                                                        |                                                                                                                   |
| Mediator.Abstractions                                      | 3.0.1                   | Unknown                    |                    | https://aka.ms/deprecateLicenseUrl          | Copyright 2022 Martin Othamar                                                                                                                             | Martin Othamar                                          | https://github.com/martinothamar/Mediator                      | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Framework/AspNetCore/AspNetCore.csproj                              |
