+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
| Respawn                                                    | 6.2.1                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright Jimmy Bogard                                                                                                                                    | Jimmy Bogard                                            |                                                                |                                                        |                                                                                                                   |
| Scalar.AspNetCore                                          | 2.0.18                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              |                                                                                                                                                           | Scalar                                                  | https://scalar.com/                                            |                                                        |                                                                                                                   |
| Scriban                                                    | 6.3.0                   | Expression                 | BSD-2-Clause       | https://licenses.nuget.org/BSD-2-Clause     | Alexandre Mutel                                                                                                                                           | Alexandre Mutel                                         | https://github.com/lunet-io/scriban                            |                                                        |                                                                                                                   |
| StackExchange.Redis                                        | 2.8.22                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              | 2014 - 2024 Stack Exchange, Inc.                                                                                                                          | Stack Exchange, Inc.,Marc Gravell,Nick Craver           | https://stackexchange.github.io/StackExchange.Redis/           |                                                        |                                                                                                                   |
| System.CommandLine                                         | 2.0.0-beta4.22272.1     | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/command-line-api                     |                                                        |                                                                                                                   |
| System.Net.Http.Json                                       | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| System.Text.Json                                           | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Tesseract                                                  | 5.2.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2012-2020 Charles Weld                                                                                                                          | Charles Weld                                            | https://github.com/charlesw/tesseract/                         |                                                        |                                                                                                                   |
| Testcontainers.PostgreSql                                  | 4.0.0                   | Unknown                    |                    | https://aka.ms/deprecateLicenseUrl          | Copyright (c) 2019 - 2024 Andre Hofmeister and other authors                                                                                              | Andre Hofmeister and contributors                       | https://dotnet.testcontainers.org/                             | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/tests/IntegrationTests/IntegrationTests.csproj                          |
| Testcontainers.RabbitMq                                    | 4.0.0                   | Unknown                    |                    | https://aka.ms/deprecateLicenseUrl          | Copyright (c) 2019 - 2024 Andre Hofmeister and other authors                                                                                              | Andre Hofmeister and contributors                       | https://dotnet.testcontainers.org/                             | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/tests/IntegrationTests/IntegrationTests.csproj                          |
| xunit.runner.visualstudio                                  | 3.0.2                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright (C) .NET Foundation                                                                                                                             | jnewkirk,bradwilson                                     |                                                                |                                                        |                                                                                                                   |
| xunit.v3                                                   | 2.0.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright (C) .NET Foundation                                                                                                                             | jnewkirk,bradwilson                                     |                                                                |                                                        |                                                                                                                   |
+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
